o,h,l,c,volume
1.1181,1.1226399999999999,1.1160299999999999,1.11858,5015
1.11858,1.1208799999999999,1.1162,1.1168200000000001,707
1.1169,1.1187200000000002,1.1168,1.1176700000000002,3018
1.1177,1.1188799999999999,1.11752,1.11826,1034
1.11828,1.1183,1.11524,1.11667,5204
1.1167,1.11886,1.1166,1.11868,3045
1.11866,1.12076,1.11768,1.1207200000000002,4533
1.1207,1.12179,1.11901,1.1213600000000001,5043
1.1213799999999998,1.1221299999999998,1.1205100000000001,1.12191,3085
1.12189,1.12206,1.1195,1.12026,4133
1.12024,1.12096,1.11904,1.11986,6625
1.11988,1.12086,1.11624,1.1182,14466
1.11818,1.12144,1.1175899999999999,1.12077,9420
1.12075,1.1207799999999999,1.1161,1.1165200000000002,6208
1.1165399999999999,1.11732,1.11533,1.1159299999999999,6123
1.11592,1.11755,1.11396,1.1155,7661
1.11548,1.11866,1.11093,1.1110200000000001,18206
1.11103,1.11274,1.1103399999999999,1.11242,16221
1.1124,1.11334,1.1098,1.1108,13745
1.11079,1.11202,1.1066200000000002,1.1069799999999999,12665
1.10699,1.1087799999999999,1.1055,1.1081,17495
1.10812,1.1107,1.1057700000000001,1.10811,13216
1.10809,1.1102100000000001,1.1063,1.10687,9750
1.10685,1.11151,1.1057700000000001,1.11135,6980
1.11133,1.11174,1.10806,1.1105399999999999,4136
1.1069200000000001,1.11996,1.1069200000000001,1.11909,2377
1.11914,1.1199,1.11411,1.11582,7171
1.11586,1.11944,1.11513,1.11572,6367
1.11568,1.11693,1.11166,1.1118,8575
1.11182,1.11222,1.1085399999999999,1.11022,5560
1.11024,1.1108200000000001,1.1088799999999999,1.11032,3150
1.1103,1.11291,1.10911,1.11246,3394
1.1124399999999999,1.11337,1.11096,1.11334,2436
1.11332,1.1134600000000001,1.11084,1.11184,4088
1.1118700000000001,1.1154,1.11172,1.11402,12688
1.11404,1.11819,1.11286,1.1177,19075
1.11772,1.12296,1.1168,1.1226,20597
1.12261,1.1236700000000002,1.119,1.1193,12161
1.11929,1.12086,1.11424,1.11657,14155
1.11658,1.11866,1.11507,1.11863,11633
1.11865,1.1200700000000001,1.1154600000000001,1.1166,24876
1.1166200000000002,1.11686,1.11099,1.11493,29609
1.11491,1.11596,1.11014,1.11024,21855
1.1102299999999998,1.1145399999999999,1.10944,1.11372,11253
1.1137,1.1163399999999999,1.11364,1.11616,10677
1.11614,1.11778,1.11457,1.1159299999999999,11424
1.11592,1.11776,1.11513,1.11701,6649
1.1170200000000001,1.11758,1.11524,1.11756,7778
1.11758,1.1186399999999999,1.11676,1.11827,1759
1.11827,1.11837,1.11601,1.11794,491
1.11799,1.11806,1.11656,1.11684,1581
1.11686,1.11764,1.11585,1.11636,2976
1.1163399999999999,1.1172600000000001,1.11596,1.1171200000000001,4542
